dataset,fold,n_test,accuracy,precision,recall,f1,auc_roc,auc_prc
data1,fold_1,1928,0.7873,0.7844,0.7925,0.7884,0.8622,0.8393
data1,fold_2,1928,0.7816,0.7831,0.7790,0.7811,0.8738,0.8592
data1,fold_3,1928,0.7853,0.7812,0.7925,0.7868,0.8696,0.8449
data1,fold_4,1928,0.7754,0.7810,0.7656,0.7732,0.8684,0.8500
data1,fold_5,1928,0.7749,0.7912,0.7469,0.7684,0.8670,0.8518
data1,5fold_avg,1928,0.7946,0.7916,0.7998,0.7957,0.8827,0.8632
data1,fold_mean±std,1928,0.7809±0.0056,0.7842±0.0042,0.7753±0.0194,0.7796±0.0086,0.8682±0.0042,0.8490±0.0075
data2,fold_1,2595,0.7807,0.7805,0.7650,0.7727,0.8768,0.8678
data2,fold_2,2595,0.7908,0.7741,0.8054,0.7895,0.8848,0.8799
data2,fold_3,2595,0.7703,0.7434,0.8070,0.7739,0.8663,0.8552
data2,fold_4,2595,0.7796,0.7586,0.8030,0.7802,0.8666,0.8529
data2,fold_5,2595,0.7938,0.8060,0.7595,0.7821,0.8877,0.8802
data2,5fold_avg,2595,0.7904,0.7786,0.7959,0.7872,0.8881,0.8801
data2,fold_mean±std,2595,0.7830±0.0094,0.7725±0.0236,0.7880±0.0236,0.7797±0.0068,0.8764±0.0099,0.8672±0.0130
data3,fold_1,5207,0.8168,0.8012,0.8425,0.8213,0.9003,0.8965
data3,fold_2,5207,0.8204,0.7998,0.8548,0.8264,0.9062,0.9039
data3,fold_3,5207,0.8160,0.7903,0.8602,0.8238,0.9013,0.8969
data3,fold_4,5207,0.7951,0.7657,0.8502,0.8058,0.8529,0.7963
data3,fold_5,5207,0.8080,0.7880,0.8425,0.8143,0.8976,0.8944
data3,5fold_avg,5207,0.8160,0.7914,0.8582,0.8234,0.9063,0.9044
data3,fold_mean±std,5207,0.8113±0.0101,0.7890±0.0142,0.8500±0.0077,0.8183±0.0083,0.8917±0.0219,0.8776±0.0456
